new	0.1262	1.4361	0.9332
past	0.1261	1.4359	0.9343
past	0.1256	1.4349	0.9453
past	0.1255	1.4344	0.9480
past	0.1254	1.4339	0.9535
past	0.1245	1.4321	0.9742
past	0.1861	1.0046	1.0065
past	0.1169	0.5340	0.9127
past	0.1205	0.5341	0.9022
past	0.1316	0.5347	0.8639
velocity	0.0032	0.0003	-0.0130
new	0.1261	1.4359	0.9343
past	0.1256	1.4349	0.9453
past	0.1255	1.4344	0.9480
past	0.1254	1.4339	0.9535
past	0.1245	1.4321	0.9742
past	0.1861	1.0046	1.0065
past	0.1169	0.5340	0.9127
past	0.1205	0.5341	0.9022
past	0.1316	0.5347	0.8639
past	0.1348	0.5350	0.8509
velocity	-0.2019	-0.3135	-0.0719
new	0.1256	1.4349	0.9453
past	0.1255	1.4344	0.9480
past	0.1254	1.4339	0.9535
past	0.1245	1.4321	0.9742
past	0.1861	1.0046	1.0065
past	0.1169	0.5340	0.9127
past	0.1205	0.5341	0.9022
past	0.1316	0.5347	0.8639
past	0.1348	0.5350	0.8509
past	-0.0671	0.2215	0.7790
velocity	0.0458	-0.0945	-0.0016
new	0.1255	1.4344	0.9480
past	0.1254	1.4339	0.9535
past	0.1245	1.4321	0.9742
past	0.1861	1.0046	1.0065
past	0.1169	0.5340	0.9127
past	0.1205	0.5341	0.9022
past	0.1316	0.5347	0.8639
past	0.1348	0.5350	0.8509
past	-0.0671	0.2215	0.7790
past	-0.0212	0.1270	0.7774
velocity	0.0351	-0.1825	-0.0357
new	0.1254	1.4339	0.9535
past	0.1245	1.4321	0.9742
past	0.1861	1.0046	1.0065
past	0.1169	0.5340	0.9127
past	0.1205	0.5341	0.9022
past	0.1316	0.5347	0.8639
past	0.1348	0.5350	0.8509
past	-0.0671	0.2215	0.7790
past	-0.0212	0.1270	0.7774
past	0.0139	-0.0555	0.7418
velocity	0.0105	0.0067	-0.1592
new	0.1245	1.4321	0.9742
past	0.1861	1.0046	1.0065
past	0.1169	0.5340	0.9127
past	0.1205	0.5341	0.9022
past	0.1316	0.5347	0.8639
past	0.1348	0.5350	0.8509
past	-0.0671	0.2215	0.7790
past	-0.0212	0.1270	0.7774
past	0.0139	-0.0555	0.7418
past	0.0244	-0.0488	0.5826
velocity	0.0043	0.0027	-0.0910
new	0.1861	1.0046	1.0065
past	0.1169	0.5340	0.9127
past	0.1205	0.5341	0.9022
past	0.1316	0.5347	0.8639
past	0.1348	0.5350	0.8509
past	-0.0671	0.2215	0.7790
past	-0.0212	0.1270	0.7774
past	0.0139	-0.0555	0.7418
past	0.0244	-0.0488	0.5826
past	0.0287	-0.0461	0.4916
velocity	0.0109	0.0107	-0.2751
new	0.1169	0.5340	0.9127
past	0.1205	0.5341	0.9022
past	0.1316	0.5347	0.8639
past	0.1348	0.5350	0.8509
past	-0.0671	0.2215	0.7790
past	-0.0212	0.1270	0.7774
past	0.0139	-0.0555	0.7418
past	0.0244	-0.0488	0.5826
past	0.0287	-0.0461	0.4916
past	0.0396	-0.0354	0.2165
velocity	0.0010	0.0018	-0.0361
new	0.1205	0.5341	0.9022
past	0.1316	0.5347	0.8639
past	0.1348	0.5350	0.8509
past	-0.0671	0.2215	0.7790
past	-0.0212	0.1270	0.7774
past	0.0139	-0.0555	0.7418
past	0.0244	-0.0488	0.5826
past	0.0287	-0.0461	0.4916
past	0.0396	-0.0354	0.2165
past	0.0406	-0.0336	0.1804
velocity	0.0196	0.0081	-0.1075
new	0.1316	0.5347	0.8639
past	0.1348	0.5350	0.8509
past	-0.0671	0.2215	0.7790
past	-0.0212	0.1270	0.7774
past	0.0139	-0.0555	0.7418
past	0.0244	-0.0488	0.5826
past	0.0287	-0.0461	0.4916
past	0.0396	-0.0354	0.2165
past	0.0406	-0.0336	0.1804
past	0.0602	-0.0255	0.0729
velocity	0.0043	0.0021	0.0026
new	0.1695	1.1868	1.0089
past	0.1923	0.8607	0.9965
past	0.1976	0.7645	0.9869
past	0.1047	0.5350	0.9425
past	0.1165	0.5340	0.9138
past	0.1189	0.5341	0.9068
past	0.1354	0.5351	0.8488
past	-0.0653	0.2202	0.7921
past	-0.0663	0.2205	0.7885
past	0.0114	-0.0573	0.7687
velocity	0.0077	0.0056	-0.1024
new	0.1923	0.8607	0.9965
past	0.1976	0.7645	0.9869
past	0.1047	0.5350	0.9425
past	0.1165	0.5340	0.9138
past	0.1189	0.5341	0.9068
past	0.1354	0.5351	0.8488
past	-0.0653	0.2202	0.7921
past	-0.0663	0.2205	0.7885
past	0.0114	-0.0573	0.7687
past	0.0191	-0.0517	0.6664
velocity	0.0083	0.0048	-0.1468
new	0.1976	0.7645	0.9869
past	0.1047	0.5350	0.9425
past	0.1165	0.5340	0.9138
past	0.1189	0.5341	0.9068
past	0.1354	0.5351	0.8488
past	-0.0653	0.2202	0.7921
past	-0.0663	0.2205	0.7885
past	0.0114	-0.0573	0.7687
past	0.0191	-0.0517	0.6664
past	0.0274	-0.0469	0.5196
velocity	0.0010	0.0006	-0.0200
new	0.1047	0.5350	0.9425
past	0.1165	0.5340	0.9138
past	0.1189	0.5341	0.9068
past	0.1354	0.5351	0.8488
past	-0.0653	0.2202	0.7921
past	-0.0663	0.2205	0.7885
past	0.0114	-0.0573	0.7687
past	0.0191	-0.0517	0.6664
past	0.0274	-0.0469	0.5196
past	0.0283	-0.0463	0.4996
velocity	0.0003	0.0002	-0.0080
new	0.1165	0.5340	0.9138
past	0.1189	0.5341	0.9068
past	0.1354	0.5351	0.8488
past	-0.0653	0.2202	0.7921
past	-0.0663	0.2205	0.7885
past	0.0114	-0.0573	0.7687
past	0.0191	-0.0517	0.6664
past	0.0274	-0.0469	0.5196
past	0.0283	-0.0463	0.4996
past	0.0287	-0.0461	0.4916
velocity	0.0009	0.0006	-0.0201
new	0.1189	0.5341	0.9068
past	0.1354	0.5351	0.8488
past	-0.0653	0.2202	0.7921
past	-0.0663	0.2205	0.7885
past	0.0114	-0.0573	0.7687
past	0.0191	-0.0517	0.6664
past	0.0274	-0.0469	0.5196
past	0.0283	-0.0463	0.4996
past	0.0287	-0.0461	0.4916
past	0.0296	-0.0455	0.4715
velocity	0.0092	0.0089	-0.2292
new	0.1354	0.5351	0.8488
